Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-10-01,16:50:00,886.345,886.345,885.41,886.04,16663,0
2013-10-01,16:55:00,886.05,886.3,885.79,885.855,19587,0
2013-10-01,17:00:00,886.16,886.68,886,886.065,25164,0
2013-10-01,17:05:00,886.19,886.68,886,886.525,22764,0
2013-10-01,17:10:00,886.66,886.892,886.01,886.03,24965,0
2013-10-01,17:15:00,886.03,886.33,885.7,885.83,22104,0
2013-10-01,17:20:00,885.89,885.89,884.64,884.692,23700,0
2013-10-01,17:25:00,884.77,885.87,884.77,885.45,11346,0
2013-10-01,17:30:00,885.69,885.75,884.51,884.59,6930,0
2013-10-01,17:35:00,884.95,885.66,884.62,885.66,8000,0
2013-10-01,17:40:00,885.28,885.33,884.001,884.44,8982,0
2013-10-01,17:45:00,884.65,885.2,884.542,885.18,12636,0
2013-10-01,17:50:00,885.12,885.16,884.695,885.01,5018,0
2013-10-01,17:55:00,884.75,885.1,884.51,884.96,3938,0
2013-10-01,18:00:00,885.13,885.24,884.05,884.34,7440,0
2013-10-01,18:05:00,884.37,884.78,884.29,884.55,3956,0
2013-10-01,18:10:00,884.43,884.6,884.182,884.6,3370,0
2013-10-01,18:15:00,884.505,884.68,883.81,884,15161,0
2013-10-01,18:20:00,884.06,884.53,883.79,884.3,5362,0
2013-10-01,18:25:00,883.97,884.85,883.946,884.48,12677,0
2013-10-01,18:30:00,884.53,885.4,884.43,884.59,17935,0
2013-10-01,18:35:00,884.98,884.98,883.357,883.57,12082,0
2013-10-01,18:40:00,883.361,883.86,883.16,883.54,7266,0
2013-10-01,18:45:00,883.69,883.91,883.4,883.62,4200,0
2013-10-01,18:50:00,883.43,884.285,883.12,884.059,7219,0
2013-10-01,18:55:00,884.04,884.33,883.94,884.01,5244,0
2013-10-01,19:00:00,884.1,884.1,883.527,884.03,21431,0
2013-10-01,19:05:00,883.93,884.42,883.69,884.42,35042,0
2013-10-01,19:10:00,884.43,885.36,884.24,885.3,17550,0
2013-10-01,19:15:00,885.21,885.79,885,885.206,20502,0
2013-10-01,19:20:00,885.061,885.8,885.061,885.482,6585,0
2013-10-01,19:25:00,885.63,885.69,885.33,885.38,8329,0
2013-10-01,19:30:00,885.36,885.79,885.17,885.69,23143,0
2013-10-01,19:35:00,885.63,886.02,885.54,886,8288,0
2013-10-01,19:40:00,885.98,886,885.51,885.751,5058,0
2013-10-01,19:45:00,885.91,886.02,885.43,885.49,23019,0
2013-10-01,19:50:00,885.51,885.61,884.91,884.93,5624,0
2013-10-01,19:55:00,884.71,885.4,884.71,885.17,6000,0
2013-10-01,20:00:00,884.92,885.75,884.85,885.7,5632,0
2013-10-01,20:05:00,885.7,886.17,885.05,886.15,36658,0
2013-10-01,20:10:00,886.1,886.68,885.87,886.54,10700,0
2013-10-01,20:15:00,886.45,886.98,886.36,886.78,7157,0
2013-10-01,20:20:00,886.735,886.89,886.28,886.44,7600,0
2013-10-01,20:25:00,886.8,887.2,886.42,886.42,15469,0
2013-10-01,20:30:00,886.32,886.404,884.26,884.76,12715,0
2013-10-01,20:35:00,884.71,885.35,884.5,884.81,10096,0
2013-10-01,20:40:00,884.74,884.82,883.83,884.815,13673,0
2013-10-01,20:45:00,884.59,885.16,884.45,885.14,5000,0
2013-10-01,20:50:00,884.94,885.48,884.5,885.3,6030,0
2013-10-01,20:55:00,885.31,885.51,884.61,885.42,7597,0
2013-10-01,21:00:00,885.18,885.94,884.87,885.52,10204,0
2013-10-01,21:05:00,885.53,886.09,884.64,885.83,10722,0
2013-10-01,21:10:00,885.89,886.34,885.34,885.61,43564,0
2013-10-01,21:15:00,886,886.4,885.71,885.71,8354,0
2013-10-01,21:20:00,885.715,886.35,885.4,886.01,13651,0
2013-10-01,21:25:00,886.316,886.316,884.92,885.33,20294,0
2013-10-01,21:30:00,885.23,885.495,885.06,885.22,10774,0
2013-10-01,21:35:00,885.19,885.85,884.92,885.72,12574,0
2013-10-01,21:40:00,885.77,886.51,885.65,886.1,20086,0
2013-10-01,21:45:00,885.937,886.65,885.937,886.45,21208,0
2013-10-01,21:50:00,886.21,886.29,884.76,885.82,33779,0
2013-10-01,21:55:00,885.78,886.38,885.01,885.87,36018,0
2013-10-01,22:00:00,885.94,887.63,885.53,887.004,124094,0
2013-10-02,15:35:00,882.73,884.23,881,883.5,78938,0
2013-10-02,15:40:00,883.28,884.36,882,882.003,37452,0
2013-10-02,15:45:00,882.55,883.406,881,883.05,35120,0
2013-10-02,15:50:00,882.79,883.67,881.92,882.1,36755,0
2013-10-02,15:55:00,881.8,882.99,880.2,882.718,72172,0
2013-10-02,16:00:00,882.23,882.766,880.55,882.53,28571,0
2013-10-02,16:05:00,882.07,882.13,880.72,881.17,29219,0
2013-10-02,16:10:00,880.768,880.97,878.42,878.47,38654,0
2013-10-02,16:15:00,878.12,879.61,877.82,879.49,28251,0
2013-10-02,16:20:00,879.44,880.7,878.48,880.144,18256,0
2013-10-02,16:25:00,879.66,880.86,879.27,880.85,20222,0
2013-10-02,16:30:00,880.5,880.9,880,880.64,5703,0
2013-10-02,16:35:00,880.3,880.38,879,880.38,18055,0
2013-10-02,16:40:00,880.22,881.355,879.44,880.89,17661,0
